	uid	from_uid	epoch	loss	mae
	0	null	0	494.78997802734375	20.32236671447754
	1	null	1	324.1171569824219	15.789931297302246
	10	null	10	16.953493118286133	2.8194828033447266
	11	null	11	15.40075969696045	2.675767660140991
	12	null	12	14.541282653808594	2.6001579761505127
	13	null	13	13.264633178710938	2.521657705307007
	14	null	14	12.693918228149414	2.4404256343841553
	15	null	15	12.550506591796875	2.488781213760376
	16	null	16	11.697741508483887	2.405245304107666
	17	null	17	11.3598051071167	2.3267629146575928
	18	null	18	10.921225547790527	2.300926446914673
	19	null	19	10.858294486999512	2.351613998413086
	2	null	2	150.6795654296875	9.835087776184082
	20	null	20	10.477656364440918	2.253432512283325
	21	null	21	10.358688354492188	2.2739813327789307
	22	null	22	10.032519340515137	2.2400259971618652
	23	null	23	9.866454124450684	2.2169711589813232
	24	null	24	9.724631309509277	2.1956052780151367
	3	null	3	69.76596069335938	6.210638999938965
	4	null	4	44.9727668762207	4.836418151855469
	5	null	5	33.83746337890625	4.086998462677002
	6	null	6	27.614627838134766	3.6784274578094482
	7	null	7	23.818267822265625	3.4289157390594482
	8	null	8	20.800142288208008	3.12149977684021
	9	null	9	18.46422576904297	2.988396167755127
